row_id,true_label,predicted_label,confidence,local_explanation_json,attack_stage,risk_score,recommended_action,llm_prompt
0,BENIGN,BENIGN,1.0,"[{""feature"": ""Destination Port"", ""value"": 443.0, ""shap_value"": 0.014724666828895814, ""effect"": ""supports predicted class""}, {""feature"": ""Fwd Packet Length Max"", ""value"": 1133.0, ""shap_value"": 0.014714537627566528, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Fwd Bytes"", ""value"": 1523.0, ""shap_value"": 0.011565891287323575, ""effect"": ""supports predicted class""}, {""feature"": ""min_seg_size_forward"", ""value"": 20.0, ""shap_value"": 0.011519951305192056, ""effect"": ""supports predicted class""}, {""feature"": ""Flow IAT Max"", ""value"": 10000000.0, ""shap_value"": 0.0106089584052441, ""effect"": ""supports predicted class""}]",Normal,0.0,Monitor,"You are a SOC analyst assistant. Generate an incident report using ONLY the evidence below.

Do not invent IP addresses, hostnames, malware names, users, tools, or attack details.
Do not mention any feature that is not listed in the local evidence.

Evidence:
Predicted IDS label: BENIGN
Prediction confidence: 1.0000
Mapped attack stage: Normal
Risk score: 0.0
Recommended action: Monitor

Instance-level local explanation:
1. Destination Port = 443.0000, SHAP contribution = 0.014725, effect = supports predicted class
2. Fwd Packet Length Max = 1133.0000, SHAP contribution = 0.014715, effect = supports predicted class
3. Subflow Fwd Bytes = 1523.0000, SHAP contribution = 0.011566, effect = supports predicted class
4. min_seg_size_forward = 20.0000, SHAP contribution = 0.011520, effect = supports predicted class
5. Flow IAT Max = 10000000.0000, SHAP contribution = 0.010609, effect = supports predicted class

Write the report using these headings:
1. Incident Summary
2. Recommended Response
3. Supporting Evidence
4. Risk Interpretation
5. Analyst Verification Steps"
1,DoS Hulk,DoS Hulk,1.0,"[{""feature"": ""Bwd Packet Length Std"", ""value"": 2181.008184, ""shap_value"": 0.06808780508520484, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd Packet Length Max"", ""value"": 5792.0, ""shap_value"": 0.055310138034043915, ""effect"": ""supports predicted class""}, {""feature"": ""Avg Bwd Segment Size"", ""value"": 1932.5, ""shap_value"": 0.04769056939217535, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd Packet Length Mean"", ""value"": 1932.5, ""shap_value"": 0.04721432233413697, ""effect"": ""supports predicted class""}, {""feature"": ""Init_Win_bytes_backward"", ""value"": 235.0, ""shap_value"": 0.04408351152064044, ""effect"": ""supports predicted class""}]",Impact / Availability Attack,7.0,Block Source IP,"You are a SOC analyst assistant. Generate an incident report using ONLY the evidence below.

Do not invent IP addresses, hostnames, malware names, users, tools, or attack details.
Do not mention any feature that is not listed in the local evidence.

Evidence:
Predicted IDS label: DoS Hulk
Prediction confidence: 1.0000
Mapped attack stage: Impact / Availability Attack
Risk score: 7.0
Recommended action: Block Source IP

Instance-level local explanation:
1. Bwd Packet Length Std = 2181.0082, SHAP contribution = 0.068088, effect = supports predicted class
2. Bwd Packet Length Max = 5792.0000, SHAP contribution = 0.055310, effect = supports predicted class
3. Avg Bwd Segment Size = 1932.5000, SHAP contribution = 0.047691, effect = supports predicted class
4. Bwd Packet Length Mean = 1932.5000, SHAP contribution = 0.047214, effect = supports predicted class
5. Init_Win_bytes_backward = 235.0000, SHAP contribution = 0.044084, effect = supports predicted class

Write the report using these headings:
1. Incident Summary
2. Recommended Response
3. Supporting Evidence
4. Risk Interpretation
5. Analyst Verification Steps"
2,BENIGN,BENIGN,0.9933333333333332,"[{""feature"": ""Init_Win_bytes_backward"", ""value"": 972.0, ""shap_value"": 0.019586329317432708, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Fwd Bytes"", ""value"": 864.0, ""shap_value"": 0.014715222732754807, ""effect"": ""supports predicted class""}, {""feature"": ""Flow IAT Max"", ""value"": 9999859.0, ""shap_value"": 0.01412661707990513, ""effect"": ""supports predicted class""}, {""feature"": ""Flow Duration"", ""value"": 21213499.0, ""shap_value"": 0.013241509139441469, ""effect"": ""supports predicted class""}, {""feature"": ""Total Length of Fwd Packets"", ""value"": 864.0, ""shap_value"": 0.010137467160472058, ""effect"": ""supports predicted class""}]",Normal,0.0,Monitor,"You are a SOC analyst assistant. Generate an incident report using ONLY the evidence below.

Do not invent IP addresses, hostnames, malware names, users, tools, or attack details.
Do not mention any feature that is not listed in the local evidence.

Evidence:
Predicted IDS label: BENIGN
Prediction confidence: 0.9933
Mapped attack stage: Normal
Risk score: 0.0
Recommended action: Monitor

Instance-level local explanation:
1. Init_Win_bytes_backward = 972.0000, SHAP contribution = 0.019586, effect = supports predicted class
2. Subflow Fwd Bytes = 864.0000, SHAP contribution = 0.014715, effect = supports predicted class
3. Flow IAT Max = 9999859.0000, SHAP contribution = 0.014127, effect = supports predicted class
4. Flow Duration = 21213499.0000, SHAP contribution = 0.013242, effect = supports predicted class
5. Total Length of Fwd Packets = 864.0000, SHAP contribution = 0.010137, effect = supports predicted class

Write the report using these headings:
1. Incident Summary
2. Recommended Response
3. Supporting Evidence
4. Risk Interpretation
5. Analyst Verification Steps"
3,BENIGN,BENIGN,1.0,"[{""feature"": ""Total Length of Fwd Packets"", ""value"": 2617.0, ""shap_value"": 0.021823495138033132, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Fwd Bytes"", ""value"": 2617.0, ""shap_value"": 0.021508881468197395, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Bwd Packets"", ""value"": 142.0, ""shap_value"": 0.01557749639075979, ""effect"": ""supports predicted class""}, {""feature"": ""Total Backward Packets"", ""value"": 142.0, ""shap_value"": 0.015566656774722106, ""effect"": ""supports predicted class""}, {""feature"": ""Fwd Header Length"", ""value"": 1672.0, ""shap_value"": 0.012723611494624264, ""effect"": ""supports predicted class""}]",Normal,0.0,Monitor,"You are a SOC analyst assistant. Generate an incident report using ONLY the evidence below.

Do not invent IP addresses, hostnames, malware names, users, tools, or attack details.
Do not mention any feature that is not listed in the local evidence.

Evidence:
Predicted IDS label: BENIGN
Prediction confidence: 1.0000
Mapped attack stage: Normal
Risk score: 0.0
Recommended action: Monitor

Instance-level local explanation:
1. Total Length of Fwd Packets = 2617.0000, SHAP contribution = 0.021823, effect = supports predicted class
2. Subflow Fwd Bytes = 2617.0000, SHAP contribution = 0.021509, effect = supports predicted class
3. Subflow Bwd Packets = 142.0000, SHAP contribution = 0.015577, effect = supports predicted class
4. Total Backward Packets = 142.0000, SHAP contribution = 0.015567, effect = supports predicted class
5. Fwd Header Length = 1672.0000, SHAP contribution = 0.012724, effect = supports predicted class

Write the report using these headings:
1. Incident Summary
2. Recommended Response
3. Supporting Evidence
4. Risk Interpretation
5. Analyst Verification Steps"
4,BENIGN,BENIGN,1.0,"[{""feature"": ""PSH Flag Count"", ""value"": 0.0, ""shap_value"": 0.015453730606666199, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Bwd Bytes"", ""value"": 162.0, ""shap_value"": 0.015248661723587702, ""effect"": ""supports predicted class""}, {""feature"": ""Init_Win_bytes_forward"", ""value"": -1.0, ""shap_value"": 0.014776827221006528, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd Packet Length Min"", ""value"": 81.0, ""shap_value"": 0.014210388328629052, ""effect"": ""supports predicted class""}, {""feature"": ""Packet Length Mean"", ""value"": 57.6, ""shap_value"": 0.01255953383542551, ""effect"": ""supports predicted class""}]",Normal,0.0,Monitor,"You are a SOC analyst assistant. Generate an incident report using ONLY the evidence below.

Do not invent IP addresses, hostnames, malware names, users, tools, or attack details.
Do not mention any feature that is not listed in the local evidence.

Evidence:
Predicted IDS label: BENIGN
Prediction confidence: 1.0000
Mapped attack stage: Normal
Risk score: 0.0
Recommended action: Monitor

Instance-level local explanation:
1. PSH Flag Count = 0.0000, SHAP contribution = 0.015454, effect = supports predicted class
2. Subflow Bwd Bytes = 162.0000, SHAP contribution = 0.015249, effect = supports predicted class
3. Init_Win_bytes_forward = -1.0000, SHAP contribution = 0.014777, effect = supports predicted class
4. Bwd Packet Length Min = 81.0000, SHAP contribution = 0.014210, effect = supports predicted class
5. Packet Length Mean = 57.6000, SHAP contribution = 0.012560, effect = supports predicted class

Write the report using these headings:
1. Incident Summary
2. Recommended Response
3. Supporting Evidence
4. Risk Interpretation
5. Analyst Verification Steps"
5,PortScan,PortScan,0.999991170970446,"[{""feature"": ""PSH Flag Count"", ""value"": 1.0, ""shap_value"": 0.06496234731210997, ""effect"": ""supports predicted class""}, {""feature"": ""Fwd Packet Length Mean"", ""value"": 2.0, ""shap_value"": 0.04373403877929302, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Fwd Bytes"", ""value"": 2.0, ""shap_value"": 0.039903305687628364, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd Packet Length Min"", ""value"": 6.0, ""shap_value"": 0.03436423440118247, ""effect"": ""supports predicted class""}, {""feature"": ""Packet Length Mean"", ""value"": 3.333333333, ""shap_value"": 0.032390414774260266, ""effect"": ""supports predicted class""}]",Reconnaissance,3.0,Alert SOC Analyst,"You are a SOC analyst assistant. Generate an incident report using ONLY the evidence below.

Do not invent IP addresses, hostnames, malware names, users, tools, or attack details.
Do not mention any feature that is not listed in the local evidence.

Evidence:
Predicted IDS label: PortScan
Prediction confidence: 1.0000
Mapped attack stage: Reconnaissance
Risk score: 3.0
Recommended action: Alert SOC Analyst

Instance-level local explanation:
1. PSH Flag Count = 1.0000, SHAP contribution = 0.064962, effect = supports predicted class
2. Fwd Packet Length Mean = 2.0000, SHAP contribution = 0.043734, effect = supports predicted class
3. Subflow Fwd Bytes = 2.0000, SHAP contribution = 0.039903, effect = supports predicted class
4. Bwd Packet Length Min = 6.0000, SHAP contribution = 0.034364, effect = supports predicted class
5. Packet Length Mean = 3.3333, SHAP contribution = 0.032390, effect = supports predicted class

Write the report using these headings:
1. Incident Summary
2. Recommended Response
3. Supporting Evidence
4. Risk Interpretation
5. Analyst Verification Steps"
6,DoS slowloris,DoS slowloris,0.9999999472077616,"[{""feature"": ""Bwd Packets/s"", ""value"": 0.029240381, ""shap_value"": 0.04468136968157808, ""effect"": ""supports predicted class""}, {""feature"": ""min_seg_size_forward"", ""value"": 32.0, ""shap_value"": 0.04372535527340389, ""effect"": ""supports predicted class""}, {""feature"": ""Flow IAT Mean"", ""value"": 6412365.25, ""shap_value"": 0.04215278986866672, ""effect"": ""supports predicted class""}, {""feature"": ""Avg Bwd Segment Size"", ""value"": 2.0, ""shap_value"": 0.03898364427483329, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd IAT Min"", ""value"": 31400000.0, ""shap_value"": 0.037769470128866944, ""effect"": ""supports predicted class""}]",Impact / Availability Attack,7.0,Block Source IP,"You are a SOC analyst assistant. Generate an incident report using ONLY the evidence below.

Do not invent IP addresses, hostnames, malware names, users, tools, or attack details.
Do not mention any feature that is not listed in the local evidence.

Evidence:
Predicted IDS label: DoS slowloris
Prediction confidence: 1.0000
Mapped attack stage: Impact / Availability Attack
Risk score: 7.0
Recommended action: Block Source IP

Instance-level local explanation:
1. Bwd Packets/s = 0.0292, SHAP contribution = 0.044681, effect = supports predicted class
2. min_seg_size_forward = 32.0000, SHAP contribution = 0.043725, effect = supports predicted class
3. Flow IAT Mean = 6412365.2500, SHAP contribution = 0.042153, effect = supports predicted class
4. Avg Bwd Segment Size = 2.0000, SHAP contribution = 0.038984, effect = supports predicted class
5. Bwd IAT Min = 31400000.0000, SHAP contribution = 0.037769, effect = supports predicted class

Write the report using these headings:
1. Incident Summary
2. Recommended Response
3. Supporting Evidence
4. Risk Interpretation
5. Analyst Verification Steps"
7,PortScan,PortScan,1.0,"[{""feature"": ""PSH Flag Count"", ""value"": 1.0, ""shap_value"": 0.06487968884179975, ""effect"": ""supports predicted class""}, {""feature"": ""Init_Win_bytes_forward"", ""value"": 29200.0, ""shap_value"": 0.054772808480351785, ""effect"": ""supports predicted class""}, {""feature"": ""min_seg_size_forward"", ""value"": 40.0, ""shap_value"": 0.04278865853660249, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd Packet Length Min"", ""value"": 6.0, ""shap_value"": 0.03910053759032508, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd Header Length"", ""value"": 20.0, ""shap_value"": 0.03590672495646029, ""effect"": ""supports predicted class""}]",Reconnaissance,3.0,Alert SOC Analyst,"You are a SOC analyst assistant. Generate an incident report using ONLY the evidence below.

Do not invent IP addresses, hostnames, malware names, users, tools, or attack details.
Do not mention any feature that is not listed in the local evidence.

Evidence:
Predicted IDS label: PortScan
Prediction confidence: 1.0000
Mapped attack stage: Reconnaissance
Risk score: 3.0
Recommended action: Alert SOC Analyst

Instance-level local explanation:
1. PSH Flag Count = 1.0000, SHAP contribution = 0.064880, effect = supports predicted class
2. Init_Win_bytes_forward = 29200.0000, SHAP contribution = 0.054773, effect = supports predicted class
3. min_seg_size_forward = 40.0000, SHAP contribution = 0.042789, effect = supports predicted class
4. Bwd Packet Length Min = 6.0000, SHAP contribution = 0.039101, effect = supports predicted class
5. Bwd Header Length = 20.0000, SHAP contribution = 0.035907, effect = supports predicted class

Write the report using these headings:
1. Incident Summary
2. Recommended Response
3. Supporting Evidence
4. Risk Interpretation
5. Analyst Verification Steps"
8,BENIGN,BENIGN,1.0,"[{""feature"": ""Bwd Packet Length Min"", ""value"": 108.0, ""shap_value"": 0.023224643039502554, ""effect"": ""supports predicted class""}, {""feature"": ""Destination Port"", ""value"": 53.0, ""shap_value"": -0.013259966735270346, ""effect"": ""opposes predicted class""}, {""feature"": ""Init_Win_bytes_forward"", ""value"": -1.0, ""shap_value"": 0.013022946796400703, ""effect"": ""supports predicted class""}, {""feature"": ""Packet Length Mean"", ""value"": 69.0, ""shap_value"": 0.012517166310490798, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Bwd Bytes"", ""value"": 216.0, ""shap_value"": 0.01237973424349093, ""effect"": ""supports predicted class""}]",Normal,0.0,Monitor,"You are a SOC analyst assistant. Generate an incident report using ONLY the evidence below.

Do not invent IP addresses, hostnames, malware names, users, tools, or attack details.
Do not mention any feature that is not listed in the local evidence.

Evidence:
Predicted IDS label: BENIGN
Prediction confidence: 1.0000
Mapped attack stage: Normal
Risk score: 0.0
Recommended action: Monitor

Instance-level local explanation:
1. Bwd Packet Length Min = 108.0000, SHAP contribution = 0.023225, effect = supports predicted class
2. Destination Port = 53.0000, SHAP contribution = -0.013260, effect = opposes predicted class
3. Init_Win_bytes_forward = -1.0000, SHAP contribution = 0.013023, effect = supports predicted class
4. Packet Length Mean = 69.0000, SHAP contribution = 0.012517, effect = supports predicted class
5. Subflow Bwd Bytes = 216.0000, SHAP contribution = 0.012380, effect = supports predicted class

Write the report using these headings:
1. Incident Summary
2. Recommended Response
3. Supporting Evidence
4. Risk Interpretation
5. Analyst Verification Steps"
9,PortScan,PortScan,0.999987412658182,"[{""feature"": ""PSH Flag Count"", ""value"": 1.0, ""shap_value"": 0.06463714397534012, ""effect"": ""supports predicted class""}, {""feature"": ""Fwd Packet Length Mean"", ""value"": 2.0, ""shap_value"": 0.04344147478659505, ""effect"": ""supports predicted class""}, {""feature"": ""Subflow Fwd Bytes"", ""value"": 2.0, ""shap_value"": 0.03969402935161959, ""effect"": ""supports predicted class""}, {""feature"": ""Bwd Packet Length Min"", ""value"": 6.0, ""shap_value"": 0.03421245016685148, ""effect"": ""supports predicted class""}, {""feature"": ""Total Length of Fwd Packets"", ""value"": 2.0, ""shap_value"": 0.032212025241230444, ""effect"": ""supports predicted class""}]",Reconnaissance,3.0,Alert SOC Analyst,"You are a SOC analyst assistant. Generate an incident report using ONLY the evidence below.

Do not invent IP addresses, hostnames, malware names, users, tools, or attack details.
Do not mention any feature that is not listed in the local evidence.

Evidence:
Predicted IDS label: PortScan
Prediction confidence: 1.0000
Mapped attack stage: Reconnaissance
Risk score: 3.0
Recommended action: Alert SOC Analyst

Instance-level local explanation:
1. PSH Flag Count = 1.0000, SHAP contribution = 0.064637, effect = supports predicted class
2. Fwd Packet Length Mean = 2.0000, SHAP contribution = 0.043441, effect = supports predicted class
3. Subflow Fwd Bytes = 2.0000, SHAP contribution = 0.039694, effect = supports predicted class
4. Bwd Packet Length Min = 6.0000, SHAP contribution = 0.034212, effect = supports predicted class
5. Total Length of Fwd Packets = 2.0000, SHAP contribution = 0.032212, effect = supports predicted class

Write the report using these headings:
1. Incident Summary
2. Recommended Response
3. Supporting Evidence
4. Risk Interpretation
5. Analyst Verification Steps"
