event_id,configuration_id,prompt_version,generation_status,generation_error,true_label_evaluation_only,classification_correct_evaluation_only,report_text,input_tokens,output_tokens,generation_seconds,tokens_per_second,reached_token_limit,report_words
UNSW-OFFICIAL-442,A3_constrained_full,2.0,success,,Shellcode,True,"### Evidence-Grounded SOC Report

**Prediction Summary:**
The predicted label is ""Shellcode,"" with a confidence of 75.59% and an uncertainty score of 24.41%. The predicted stage is ""Advanced Intrusion,"" and the risk score is 6.43.

**Evidence:**
1. **ct_dst_src_ltm**: ct_dst_src_ltm = 1, Observed Value: 1.0, SHAP Value: 0.0654, Direction: supports predicted class
2. **sbytes**: sbytes = 684, Observed Value: 684.0, SHAP Value: 0.0535, Direction: supports predicted class
3. **service_-**: Service = unspecified, Observed Value: 1.0, SHAP Value: 0.0467, Direction: supports predicted class
4. **dmean**: dmean = 45, Observed Value: 45.0, SHAP Value: 0.0329, Direction: supports predicted class
5. **service_http**: Service is not http, Observed Value: 0.0, SHAP Value: 0.0328, Direction: supports predicted class

**Risk and Policy:**
The recommended action is to ""Block the suspected source and initiate investigation."" The policy zone is ""Block,"" and the risk score is 6.43.

**Recommended Action:**
The recommended action is to ""Block the suspected source and initiate investigation.""

**Human Review:**
No mandatory confidence-based referral is required.

**Limitations:**
This report is limited to the detector and supplied SHAP evidence.",714,360,13.53855333699994,26.590728790508557,False,171
UNSW-OFFICIAL-578,A3_constrained_full,2.0,success,,Shellcode,True,"### Evidence-Grounded SOC Report

**Prediction Summary:**
The predicted label is ""Shellcode,"" with a confidence of 94.99% and an uncertainty score of 5.01%. The predicted stage is ""Advanced Intrusion,"" and the risk score is 8.07.

**Evidence:**
1. **smean**: 161 (supports predicted class)
2. **proto_udp**: 1.0 (supports predicted class)
3. **sbytes**: 322 (supports predicted class)
4. **ct_dst_src_ltm**: 1.0 (supports predicted class)
5. **ct_dst_sport_ltm**: 1.0 (supports predicted class)

**Risk and Policy:**
The recommended action is to ""Isolate the affected asset and escalate to incident response."" The policy zone is ""Isolation,"" and the risk score is 8.07.

**Recommended Action:**
Isolate the affected asset and escalate to incident response.

**Human Review:**
No mandatory confidence-based referral is required.

**Limitations:**
This report is limited to the detector and supplied SHAP evidence.",738,238,8.974520517999736,26.519522633287828,False,124
UNSW-OFFICIAL-822,A3_constrained_full,2.0,success,,Worms,False,"### Evidence-Grounded SOC Report

#### Prediction Summary
The predicted label is ""Exploits"" with a confidence of 0.5474 and an uncertainty score of 0.4526. The recommended action is to raise a SOC alert and enrich the event context.

#### Evidence
1. **dinpkt**: dinpkt = 17.7852, SHAP value = 0.0397, direction = supports predicted class
2. **dload**: dload = 580209, SHAP value = 0.0396, direction = supports predicted class
3. **dloss**: dloss = 116, SHAP value = 0.0359, direction = supports predicted class
4. **sttl**: sttl = 254, SHAP value = -0.0321, direction = opposes predicted class
5. **dmean**: dmean = 1307, SHAP value = 0.0314, direction = supports predicted class

#### Risk and Policy
- **Stage**: Exploitation
- **Risk Score**: 3.5582
- **Policy Zone**: Alert

#### Recommended Action
- **Recommended Action**: Raise a SOC alert and enrich the event context.

#### Human Review
- **Human Review Required**: Yes
- **Confidence Threshold**: 0.70
- **Reason**: Detector confidence below the fixed 0.70 threshold.

#### Limitations
- **Report Limitations**: This report is limited to the detector and supplied SHAP evidence.",764,347,12.75292586499927,27.20944226237136,False,176
UNSW-OFFICIAL-862,A3_constrained_full,2.0,success,,DoS,False,"### Evidence-Grounded SOC Report

**Prediction Summary:**
The predicted label is **Backdoor** with a confidence of **0.471** and an uncertainty score of **0.529**. The recommended action is to **Raise a SOC alert and enrich the event context**.

**Evidence:**
1. **ct_src_ltm**: ct_src_ltm = 11, SHAP value = 0.070665, direction = supports predicted class
2. **proto_udp**: Protocol is not udp, SHAP value = 0.026709, direction = supports predicted class
3. **ct_dst_sport_ltm**: ct_dst_sport_ltm = 2, SHAP value = 0.025333, direction = supports predicted class
4. **sbytes**: sbytes = 200, SHAP value = 0.024697, direction = supports predicted class
5. **ct_dst_src_ltm**: ct_dst_src_ltm = 6, SHAP value = 0.018927, direction = supports predicted class

**Risk and Policy:**
- **Risk Score**: 3.7692
- **Policy Zone**: Alert
- **Recommended Action**: Raise a SOC alert and enrich the event context

**Human Review:**
- **Required**: Yes
- **Confidence Threshold**: 0.7
- **Reason**: Detector confidence below the fixed 0.70 threshold.

**Limitations:**
- The report is limited to the detector and supplied SHAP evidence.",744,344,12.990014139999403,26.481880334582595,False,162
UNSW-OFFICIAL-957,A3_constrained_full,2.0,success,,Shellcode,False,"### SOC Report

#### Prediction Summary
The predicted label is ""Exploits"" with a confidence of 0.3625 and an uncertainty score of 0.6375. The recommended action is to raise a SOC alert and enrich the event context.

#### Evidence
1. **dload**: dload = 11647.9, SHAP value = 0.0282, direction = supports predicted class
2. **sinpkt**: sinpkt = 16.72, SHAP value = 0.0249, direction = supports predicted class
3. **sload**: sload = 34267.8, SHAP value = 0.0247, direction = supports predicted class
4. **ct_srv_dst**: ct_srv_dst = 1, SHAP value = 0.0238, direction = supports predicted class
5. **rate**: rate = 97.4995, SHAP value = 0.0228, direction = supports predicted class

#### Risk and Policy
- **Stage**: Exploitation
- **Risk Score**: 2.3565
- **Policy Zone**: Alert

#### Recommended Action
- **Recommended Action**: Raise a SOC alert and enrich the event context.

#### Human Review
- **Human Review Required**: Yes
- **Confidence Threshold**: 0.7
- **Reason**: Detector confidence below the fixed 0.70 threshold.

#### Limitations
- **Report Limitations**: This report is limited to the detector and supplied SHAP evidence.",783,346,12.677375991999725,27.29271421927923,False,175
UNSW-OFFICIAL-966,A3_constrained_full,2.0,success,,Shellcode,False,"### Evidence-Grounded SOC Report

#### Prediction Summary
The predicted label is ""Fuzzers"" with a confidence of 0.4442 and an uncertainty score of 0.5558. The recommended action is to raise a SOC alert and enrich the event context.

#### Evidence
1. **Protocol = udp** - Observed Value: 1.0, SHAP Value: 0.081984, Direction: supports predicted class
2. **ct_dst_src_ltm = 2** - Observed Value: 2.0, SHAP Value: 0.062382, Direction: supports predicted class
3. **ct_srv_src = 3** - Observed Value: 3.0, SHAP Value: 0.042438, Direction: supports predicted class
4. **ct_srv_dst = 2** - Observed Value: 2.0, SHAP Value: 0.024724, Direction: supports predicted class
5. **sload = 6.6e+07** - Observed Value: 66000000.0, SHAP Value: 0.019887, Direction: supports predicted class

#### Risk and Policy
- **Stage**: Exploitation
- **Risk Score**: 2.8876
- **Policy Zone**: Alert
- **Recommended Action**: Raise a SOC alert and enrich the event context.

#### Human Review
- **Required**: Yes
- **Confidence Threshold**: 0.7
- **Reason**: Detector confidence below the fixed 0.70 threshold.

#### Limitations
- The report is limited to the detector and supplied SHAP evidence.",740,377,13.935828525999568,27.052571671404024,False,174
UNSW-OFFICIAL-1294,A3_constrained_full,2.0,success,,Shellcode,False,"### SOC Report

#### Prediction Summary
The predicted label is ""Fuzzers"" with a confidence of 0.4301 and an uncertainty score of 0.5699. The recommended action is to raise a SOC alert and enrich the event context.

#### Evidence
1. **smean**: 53 (supports predicted class)
2. **sbytes**: 532 (supports predicted class)
3. **sjit**: 16274.1 (supports predicted class)
4. **ackdat**: 0.0783 (supports predicted class)
5. **dinpkt**: 338.222 (supports predicted class)

#### Risk and Policy
- **Stage**: Exploitation
- **Risk Score**: 2.7958
- **Policy Zone**: Alert

#### Recommended Action
- **Recommended Action**: Raise a SOC alert and enrich the event context.

#### Human Review
- **Human Review Required**: Yes
- **Confidence Threshold**: 0.70
- **Reason**: Detector confidence below the fixed 0.70 threshold.

#### Limitations
- **Report Limitations**: This report is limited to the detector and supplied SHAP evidence.",781,261,9.740781991000404,26.794563335997076,False,135
UNSW-OFFICIAL-1319,A3_constrained_full,2.0,success,,Shellcode,True,"### Evidence-Grounded SOC Report

#### Prediction Summary
The predicted label is **Shellcode**, with a confidence of **0.286** and an uncertainty score of **0.714**. The predicted stage is **Advanced Intrusion** and the risk score is **2.431**.

#### Evidence
1. **ct_dst_src_ltm**: **1.0** (supports predicted class)
2. **sbytes**: **912.0** (supports predicted class)
3. **smean**: **91.0** (supports predicted class)
4. **service_-**: **unspecified** (supports predicted class)
5. **sjit**: **13291.6** (opposes predicted class)

#### Risk and Policy
- **Stage**: Advanced Intrusion
- **Risk Score**: 2.431
- **Policy Zone**: Alert
- **Recommended Action**: Raise a SOC alert and enrich the event context.

#### Recommended Action
- **Human Review**: Required
- **Confidence Threshold**: 0.7
- **Reason**: Detector confidence below the fixed 0.70 threshold.

#### Limitations
- **Report Limitations**: The report is limited to the detector and supplied SHAP evidence.",745,267,10.168979466000565,26.256322071718223,False,131
UNSW-OFFICIAL-1468,A3_constrained_full,2.0,success,,DoS,True,"### Evidence-Grounded SOC Report

**Prediction Summary:**
The predicted label is **DoS** with a confidence of **0.683** and an uncertainty score of **0.317**. The recommended action is to **Raise a SOC alert and enrich the event context**.

**Evidence:**
1. **sttl (State Time to Live)**: **254** (supports predicted class)
2. **sloss (State Loss)**: **14** (supports predicted class)
3. **sbytes (State Bytes Sent)**: **19789** (supports predicted class)
4. **dbytes (Destination Bytes Sent)**: **1844** (supports predicted class)
5. **spkts (State Packets Sent)**: **34** (supports predicted class)

**Risk and Policy:**
The risk score is **4.782** and the policy zone is **Alert**. The recommended action is to **Raise a SOC alert and enrich the event context**.

**Recommended Action:**
- **Raise a SOC alert** to notify the security team of the potential DoS attack.
- **Enrich the event context** with the observed values and SHAP values to provide more context for further investigation.

**Human Review:**
- **Human Review Required**: The detector confidence is below the fixed 0.70 threshold, necessitating a human review to ensure the alert is appropriate.

**Limitations:**
- The report is limited to the detector and supplied SHAP evidence. It does not include additional details such as attack behavior, causes, impacts, IP addresses, hostnames, CVEs, malware, tools, or extra remediation.",736,354,13.264861751999888,26.687047827439958,False,205
UNSW-OFFICIAL-1587,A3_constrained_full,2.0,success,,Worms,False,"### Evidence-Grounded SOC Report

#### Prediction Summary
The predicted label is ""Exploits"" with a confidence of 0.4899 and an uncertainty score of 0.5100. The recommended action is to raise a SOC alert and enrich the event context.

#### Evidence
1. **dtcpb**: The total data transferred (dtcpb) is 4.19464e+09 bytes, supporting the predicted class.
2. **sbytes**: The size of the data transferred (sbytes) is 1282 bytes, supporting the predicted class.
3. **ct_srv_dst**: The destination service (ct_srv_dst) is 1, supporting the predicted class.
4. **service_-**: An application service is identified, supporting the predicted class.
5. **smean**: The average size of the data transferred (smean) is 128 bytes, supporting the predicted class.

#### Risk and Policy
- **Stage**: Exploitation
- **Risk Score**: 3.1846
- **Policy Zone**: Alert

#### Recommended Action
- **Recommended Action**: Raise a SOC alert and enrich the event context.

#### Human Review
- **Human Review Required**: Yes
- **Confidence Threshold**: 0.70
- **Reason**: Detector confidence below the fixed 0.70 threshold.

#### Limitations
- **Report Limitations**: This report is limited to the detector and supplied SHAP evidence. It does not include additional attack behavior, causes, impacts, IP addresses, hostnames, CVEs, malware, tools, or any other remediation details.",748,345,12.839571456000158,26.870055685446996,False,196
