event_id,configuration_id,source_configuration_id,prompt_version,generation_status,true_label_evaluation_only,classification_correct_evaluation_only,raw_a3_report_text,report_text,verifier_mode,verifier_fallback_triggered,report_words,raw_headings_exactly_once,raw_heading_order_correct,raw_structural_pass,raw_evidence_bullet_count,raw_five_evidence_bullets,raw_shap_mentions,raw_all_five_shap_mentions,raw_direction_mentions,raw_all_five_directions,raw_additional_title_present,raw_reached_token_limit,raw_missing_headings,a4_all_sections_present,a4_heading_order_correct,a4_heading_counts_correct,a4_evidence_bullet_count,a4_evidence_contract_passed,a4_quality_gate_passed
UNSW-OFFICIAL-442,A4_verified_full,A3_constrained_full,2.0,verified,Shellcode,True,"### Evidence-Grounded SOC Report

**Prediction Summary:**
The predicted label is ""Shellcode,"" with a confidence of 75.59% and an uncertainty score of 24.41%. The predicted stage is ""Advanced Intrusion,"" and the risk score is 6.43.

**Evidence:**
1. **ct_dst_src_ltm**: ct_dst_src_ltm = 1, Observed Value: 1.0, SHAP Value: 0.0654, Direction: supports predicted class
2. **sbytes**: sbytes = 684, Observed Value: 684.0, SHAP Value: 0.0535, Direction: supports predicted class
3. **service_-**: Service = unspecified, Observed Value: 1.0, SHAP Value: 0.0467, Direction: supports predicted class
4. **dmean**: dmean = 45, Observed Value: 45.0, SHAP Value: 0.0329, Direction: supports predicted class
5. **service_http**: Service is not http, Observed Value: 0.0, SHAP Value: 0.0328, Direction: supports predicted class

**Risk and Policy:**
The recommended action is to ""Block the suspected source and initiate investigation."" The policy zone is ""Block,"" and the risk score is 6.43.

**Recommended Action:**
The recommended action is to ""Block the suspected source and initiate investigation.""

**Human Review:**
No mandatory confidence-based referral is required.

**Limitations:**
This report is limited to the detector and supplied SHAP evidence.","Prediction Summary
The detector predicted Shellcode with confidence 0.7559 and uncertainty 0.2441.

Evidence
1. ct_dst_src_ltm: observed value=1; SHAP value=0.065428; direction=supports predicted class.
2. sbytes: observed value=684; SHAP value=0.053514; direction=supports predicted class.
3. service_-: observed value=1; SHAP value=0.046728; direction=supports predicted class.
4. dmean: observed value=45; SHAP value=0.032896; direction=supports predicted class.
5. service_http: observed value=0; SHAP value=0.032821; direction=supports predicted class.

Risk and Policy
The predicted operational stage is Advanced Intrusion. The confidence-weighted risk score is 6.4250, corresponding to the Block policy zone.

Recommended Action
Block the suspected source and initiate investigation.

Human Review
No mandatory confidence-based referral.

Limitations
This report is limited to the detector prediction, policy mapping, and five supplied local SHAP contributions. It does not establish ground truth or independently confirm an incident.",evidence_contract_renderer,False,123,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-578,A4_verified_full,A3_constrained_full,2.0,verified,Shellcode,True,"### Evidence-Grounded SOC Report

**Prediction Summary:**
The predicted label is ""Shellcode,"" with a confidence of 94.99% and an uncertainty score of 5.01%. The predicted stage is ""Advanced Intrusion,"" and the risk score is 8.07.

**Evidence:**
1. **smean**: 161 (supports predicted class)
2. **proto_udp**: 1.0 (supports predicted class)
3. **sbytes**: 322 (supports predicted class)
4. **ct_dst_src_ltm**: 1.0 (supports predicted class)
5. **ct_dst_sport_ltm**: 1.0 (supports predicted class)

**Risk and Policy:**
The recommended action is to ""Isolate the affected asset and escalate to incident response."" The policy zone is ""Isolation,"" and the risk score is 8.07.

**Recommended Action:**
Isolate the affected asset and escalate to incident response.

**Human Review:**
No mandatory confidence-based referral is required.

**Limitations:**
This report is limited to the detector and supplied SHAP evidence.","Prediction Summary
The detector predicted Shellcode with confidence 0.9499 and uncertainty 0.0501.

Evidence
1. smean: observed value=161; SHAP value=0.106775; direction=supports predicted class.
2. proto_udp: observed value=1; SHAP value=0.106062; direction=supports predicted class.
3. sbytes: observed value=322; SHAP value=0.095455; direction=supports predicted class.
4. ct_dst_src_ltm: observed value=1; SHAP value=0.072197; direction=supports predicted class.
5. ct_dst_sport_ltm: observed value=1; SHAP value=0.046070; direction=supports predicted class.

Risk and Policy
The predicted operational stage is Advanced Intrusion. The confidence-weighted risk score is 8.0744, corresponding to the Isolation policy zone.

Recommended Action
Isolate the affected asset and escalate to incident response.

Human Review
No mandatory confidence-based referral.

Limitations
This report is limited to the detector prediction, policy mapping, and five supplied local SHAP contributions. It does not establish ground truth or independently confirm an incident.",evidence_contract_renderer,True,125,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-822,A4_verified_full,A3_constrained_full,2.0,verified,Worms,False,"### Evidence-Grounded SOC Report

#### Prediction Summary
The predicted label is ""Exploits"" with a confidence of 0.5474 and an uncertainty score of 0.4526. The recommended action is to raise a SOC alert and enrich the event context.

#### Evidence
1. **dinpkt**: dinpkt = 17.7852, SHAP value = 0.0397, direction = supports predicted class
2. **dload**: dload = 580209, SHAP value = 0.0396, direction = supports predicted class
3. **dloss**: dloss = 116, SHAP value = 0.0359, direction = supports predicted class
4. **sttl**: sttl = 254, SHAP value = -0.0321, direction = opposes predicted class
5. **dmean**: dmean = 1307, SHAP value = 0.0314, direction = supports predicted class

#### Risk and Policy
- **Stage**: Exploitation
- **Risk Score**: 3.5582
- **Policy Zone**: Alert

#### Recommended Action
- **Recommended Action**: Raise a SOC alert and enrich the event context.

#### Human Review
- **Human Review Required**: Yes
- **Confidence Threshold**: 0.70
- **Reason**: Detector confidence below the fixed 0.70 threshold.

#### Limitations
- **Report Limitations**: This report is limited to the detector and supplied SHAP evidence.","Prediction Summary
The detector predicted Exploits with confidence 0.5474 and uncertainty 0.4526.

Evidence
1. dinpkt: observed value=17.78521919; SHAP value=0.039732; direction=supports predicted class.
2. dload: observed value=580209.25; SHAP value=0.039629; direction=supports predicted class.
3. dloss: observed value=116; SHAP value=0.035998; direction=supports predicted class.
4. sttl: observed value=254; SHAP value=-0.032058; direction=opposes predicted class.
5. dmean: observed value=1307; SHAP value=0.031393; direction=supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 3.5582, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report is limited to the detector prediction, policy mapping, and five supplied local SHAP contributions. It does not establish ground truth or independently confirm an incident.",evidence_contract_renderer,False,127,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-862,A4_verified_full,A3_constrained_full,2.0,verified,DoS,False,"### Evidence-Grounded SOC Report

**Prediction Summary:**
The predicted label is **Backdoor** with a confidence of **0.471** and an uncertainty score of **0.529**. The recommended action is to **Raise a SOC alert and enrich the event context**.

**Evidence:**
1. **ct_src_ltm**: ct_src_ltm = 11, SHAP value = 0.070665, direction = supports predicted class
2. **proto_udp**: Protocol is not udp, SHAP value = 0.026709, direction = supports predicted class
3. **ct_dst_sport_ltm**: ct_dst_sport_ltm = 2, SHAP value = 0.025333, direction = supports predicted class
4. **sbytes**: sbytes = 200, SHAP value = 0.024697, direction = supports predicted class
5. **ct_dst_src_ltm**: ct_dst_src_ltm = 6, SHAP value = 0.018927, direction = supports predicted class

**Risk and Policy:**
- **Risk Score**: 3.7692
- **Policy Zone**: Alert
- **Recommended Action**: Raise a SOC alert and enrich the event context

**Human Review:**
- **Required**: Yes
- **Confidence Threshold**: 0.7
- **Reason**: Detector confidence below the fixed 0.70 threshold.

**Limitations:**
- The report is limited to the detector and supplied SHAP evidence.","Prediction Summary
The detector predicted Backdoor with confidence 0.4711 and uncertainty 0.5289.

Evidence
1. ct_src_ltm: observed value=11; SHAP value=0.070665; direction=supports predicted class.
2. proto_udp: observed value=0; SHAP value=0.026709; direction=supports predicted class.
3. ct_dst_sport_ltm: observed value=2; SHAP value=0.025333; direction=supports predicted class.
4. sbytes: observed value=200; SHAP value=0.024697; direction=supports predicted class.
5. ct_dst_src_ltm: observed value=6; SHAP value=0.018927; direction=supports predicted class.

Risk and Policy
The predicted operational stage is Command and Control. The confidence-weighted risk score is 3.7692, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report is limited to the detector prediction, policy mapping, and five supplied local SHAP contributions. It does not establish ground truth or independently confirm an incident.",evidence_contract_renderer,True,129,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-957,A4_verified_full,A3_constrained_full,2.0,verified,Shellcode,False,"### SOC Report

#### Prediction Summary
The predicted label is ""Exploits"" with a confidence of 0.3625 and an uncertainty score of 0.6375. The recommended action is to raise a SOC alert and enrich the event context.

#### Evidence
1. **dload**: dload = 11647.9, SHAP value = 0.0282, direction = supports predicted class
2. **sinpkt**: sinpkt = 16.72, SHAP value = 0.0249, direction = supports predicted class
3. **sload**: sload = 34267.8, SHAP value = 0.0247, direction = supports predicted class
4. **ct_srv_dst**: ct_srv_dst = 1, SHAP value = 0.0238, direction = supports predicted class
5. **rate**: rate = 97.4995, SHAP value = 0.0228, direction = supports predicted class

#### Risk and Policy
- **Stage**: Exploitation
- **Risk Score**: 2.3565
- **Policy Zone**: Alert

#### Recommended Action
- **Recommended Action**: Raise a SOC alert and enrich the event context.

#### Human Review
- **Human Review Required**: Yes
- **Confidence Threshold**: 0.7
- **Reason**: Detector confidence below the fixed 0.70 threshold.

#### Limitations
- **Report Limitations**: This report is limited to the detector and supplied SHAP evidence.","Prediction Summary
The detector predicted Exploits with confidence 0.3625 and uncertainty 0.6375.

Evidence
1. dload: observed value=11647.93652; SHAP value=0.028200; direction=supports predicted class.
2. sinpkt: observed value=16.72044373; SHAP value=0.024958; direction=supports predicted class.
3. sload: observed value=34267.8125; SHAP value=0.024759; direction=supports predicted class.
4. ct_srv_dst: observed value=1; SHAP value=0.023809; direction=supports predicted class.
5. rate: observed value=97.49946594; SHAP value=0.022821; direction=supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 2.3565, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report is limited to the detector prediction, policy mapping, and five supplied local SHAP contributions. It does not establish ground truth or independently confirm an incident.",evidence_contract_renderer,False,127,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-966,A4_verified_full,A3_constrained_full,2.0,verified,Shellcode,False,"### Evidence-Grounded SOC Report

#### Prediction Summary
The predicted label is ""Fuzzers"" with a confidence of 0.4442 and an uncertainty score of 0.5558. The recommended action is to raise a SOC alert and enrich the event context.

#### Evidence
1. **Protocol = udp** - Observed Value: 1.0, SHAP Value: 0.081984, Direction: supports predicted class
2. **ct_dst_src_ltm = 2** - Observed Value: 2.0, SHAP Value: 0.062382, Direction: supports predicted class
3. **ct_srv_src = 3** - Observed Value: 3.0, SHAP Value: 0.042438, Direction: supports predicted class
4. **ct_srv_dst = 2** - Observed Value: 2.0, SHAP Value: 0.024724, Direction: supports predicted class
5. **sload = 6.6e+07** - Observed Value: 66000000.0, SHAP Value: 0.019887, Direction: supports predicted class

#### Risk and Policy
- **Stage**: Exploitation
- **Risk Score**: 2.8876
- **Policy Zone**: Alert
- **Recommended Action**: Raise a SOC alert and enrich the event context.

#### Human Review
- **Required**: Yes
- **Confidence Threshold**: 0.7
- **Reason**: Detector confidence below the fixed 0.70 threshold.

#### Limitations
- The report is limited to the detector and supplied SHAP evidence.","Prediction Summary
The detector predicted Fuzzers with confidence 0.4442 and uncertainty 0.5558.

Evidence
1. proto_udp: observed value=1; SHAP value=0.081984; direction=supports predicted class.
2. ct_dst_src_ltm: observed value=2; SHAP value=0.062382; direction=supports predicted class.
3. ct_srv_src: observed value=3; SHAP value=0.042438; direction=supports predicted class.
4. ct_srv_dst: observed value=2; SHAP value=0.024724; direction=supports predicted class.
5. sload: observed value=66000000; SHAP value=0.019887; direction=supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 2.8876, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report is limited to the detector prediction, policy mapping, and five supplied local SHAP contributions. It does not establish ground truth or independently confirm an incident.",evidence_contract_renderer,True,127,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-1294,A4_verified_full,A3_constrained_full,2.0,verified,Shellcode,False,"### SOC Report

#### Prediction Summary
The predicted label is ""Fuzzers"" with a confidence of 0.4301 and an uncertainty score of 0.5699. The recommended action is to raise a SOC alert and enrich the event context.

#### Evidence
1. **smean**: 53 (supports predicted class)
2. **sbytes**: 532 (supports predicted class)
3. **sjit**: 16274.1 (supports predicted class)
4. **ackdat**: 0.0783 (supports predicted class)
5. **dinpkt**: 338.222 (supports predicted class)

#### Risk and Policy
- **Stage**: Exploitation
- **Risk Score**: 2.7958
- **Policy Zone**: Alert

#### Recommended Action
- **Recommended Action**: Raise a SOC alert and enrich the event context.

#### Human Review
- **Human Review Required**: Yes
- **Confidence Threshold**: 0.70
- **Reason**: Detector confidence below the fixed 0.70 threshold.

#### Limitations
- **Report Limitations**: This report is limited to the detector and supplied SHAP evidence.","Prediction Summary
The detector predicted Fuzzers with confidence 0.4301 and uncertainty 0.5699.

Evidence
1. smean: observed value=53; SHAP value=0.054717; direction=supports predicted class.
2. sbytes: observed value=532; SHAP value=0.047774; direction=supports predicted class.
3. sjit: observed value=16274.05371; SHAP value=0.020908; direction=supports predicted class.
4. ackdat: observed value=0.07832100242; SHAP value=0.019428; direction=supports predicted class.
5. dinpkt: observed value=338.222168; SHAP value=0.019197; direction=supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 2.7958, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report is limited to the detector prediction, policy mapping, and five supplied local SHAP contributions. It does not establish ground truth or independently confirm an incident.",evidence_contract_renderer,True,127,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-1319,A4_verified_full,A3_constrained_full,2.0,verified,Shellcode,True,"### Evidence-Grounded SOC Report

#### Prediction Summary
The predicted label is **Shellcode**, with a confidence of **0.286** and an uncertainty score of **0.714**. The predicted stage is **Advanced Intrusion** and the risk score is **2.431**.

#### Evidence
1. **ct_dst_src_ltm**: **1.0** (supports predicted class)
2. **sbytes**: **912.0** (supports predicted class)
3. **smean**: **91.0** (supports predicted class)
4. **service_-**: **unspecified** (supports predicted class)
5. **sjit**: **13291.6** (opposes predicted class)

#### Risk and Policy
- **Stage**: Advanced Intrusion
- **Risk Score**: 2.431
- **Policy Zone**: Alert
- **Recommended Action**: Raise a SOC alert and enrich the event context.

#### Recommended Action
- **Human Review**: Required
- **Confidence Threshold**: 0.7
- **Reason**: Detector confidence below the fixed 0.70 threshold.

#### Limitations
- **Report Limitations**: The report is limited to the detector and supplied SHAP evidence.","Prediction Summary
The detector predicted Shellcode with confidence 0.2860 and uncertainty 0.7140.

Evidence
1. ct_dst_src_ltm: observed value=1; SHAP value=0.046651; direction=supports predicted class.
2. sbytes: observed value=912; SHAP value=0.032124; direction=supports predicted class.
3. smean: observed value=91; SHAP value=0.025341; direction=supports predicted class.
4. service_-: observed value=1; SHAP value=0.020952; direction=supports predicted class.
5. sjit: observed value=13291.57617; SHAP value=-0.018699; direction=opposes predicted class.

Risk and Policy
The predicted operational stage is Advanced Intrusion. The confidence-weighted risk score is 2.4311, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report is limited to the detector prediction, policy mapping, and five supplied local SHAP contributions. It does not establish ground truth or independently confirm an incident.",evidence_contract_renderer,True,128,False,False,False,5,True,0,False,5,True,True,False,Human Review,True,True,True,5,True,True
UNSW-OFFICIAL-1468,A4_verified_full,A3_constrained_full,2.0,verified,DoS,True,"### Evidence-Grounded SOC Report

**Prediction Summary:**
The predicted label is **DoS** with a confidence of **0.683** and an uncertainty score of **0.317**. The recommended action is to **Raise a SOC alert and enrich the event context**.

**Evidence:**
1. **sttl (State Time to Live)**: **254** (supports predicted class)
2. **sloss (State Loss)**: **14** (supports predicted class)
3. **sbytes (State Bytes Sent)**: **19789** (supports predicted class)
4. **dbytes (Destination Bytes Sent)**: **1844** (supports predicted class)
5. **spkts (State Packets Sent)**: **34** (supports predicted class)

**Risk and Policy:**
The risk score is **4.782** and the policy zone is **Alert**. The recommended action is to **Raise a SOC alert and enrich the event context**.

**Recommended Action:**
- **Raise a SOC alert** to notify the security team of the potential DoS attack.
- **Enrich the event context** with the observed values and SHAP values to provide more context for further investigation.

**Human Review:**
- **Human Review Required**: The detector confidence is below the fixed 0.70 threshold, necessitating a human review to ensure the alert is appropriate.

**Limitations:**
- The report is limited to the detector and supplied SHAP evidence. It does not include additional details such as attack behavior, causes, impacts, IP addresses, hostnames, CVEs, malware, tools, or extra remediation.","Prediction Summary
The detector predicted DoS with confidence 0.6832 and uncertainty 0.3168.

Evidence
1. sttl: observed value=254; SHAP value=0.087562; direction=supports predicted class.
2. sloss: observed value=14; SHAP value=0.043217; direction=supports predicted class.
3. sbytes: observed value=19789; SHAP value=0.043141; direction=supports predicted class.
4. dbytes: observed value=1844; SHAP value=0.038687; direction=supports predicted class.
5. spkts: observed value=34; SHAP value=0.038458; direction=supports predicted class.

Risk and Policy
The predicted operational stage is Impact / Availability. The confidence-weighted risk score is 4.7824, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report is limited to the detector prediction, policy mapping, and five supplied local SHAP contributions. It does not establish ground truth or independently confirm an incident.",evidence_contract_renderer,True,129,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-1587,A4_verified_full,A3_constrained_full,2.0,verified,Worms,False,"### Evidence-Grounded SOC Report

#### Prediction Summary
The predicted label is ""Exploits"" with a confidence of 0.4899 and an uncertainty score of 0.5100. The recommended action is to raise a SOC alert and enrich the event context.

#### Evidence
1. **dtcpb**: The total data transferred (dtcpb) is 4.19464e+09 bytes, supporting the predicted class.
2. **sbytes**: The size of the data transferred (sbytes) is 1282 bytes, supporting the predicted class.
3. **ct_srv_dst**: The destination service (ct_srv_dst) is 1, supporting the predicted class.
4. **service_-**: An application service is identified, supporting the predicted class.
5. **smean**: The average size of the data transferred (smean) is 128 bytes, supporting the predicted class.

#### Risk and Policy
- **Stage**: Exploitation
- **Risk Score**: 3.1846
- **Policy Zone**: Alert

#### Recommended Action
- **Recommended Action**: Raise a SOC alert and enrich the event context.

#### Human Review
- **Human Review Required**: Yes
- **Confidence Threshold**: 0.70
- **Reason**: Detector confidence below the fixed 0.70 threshold.

#### Limitations
- **Report Limitations**: This report is limited to the detector and supplied SHAP evidence. It does not include additional attack behavior, causes, impacts, IP addresses, hostnames, CVEs, malware, tools, or any other remediation details.","Prediction Summary
The detector predicted Exploits with confidence 0.4899 and uncertainty 0.5101.

Evidence
1. dtcpb: observed value=4194638592; SHAP value=0.031865; direction=supports predicted class.
2. sbytes: observed value=1282; SHAP value=0.024898; direction=supports predicted class.
3. ct_srv_dst: observed value=1; SHAP value=0.022620; direction=supports predicted class.
4. service_-: observed value=0; SHAP value=0.020238; direction=supports predicted class.
5. smean: observed value=128; SHAP value=0.020073; direction=supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 3.1846, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report is limited to the detector prediction, policy mapping, and five supplied local SHAP contributions. It does not establish ground truth or independently confirm an incident.",evidence_contract_renderer,True,127,True,True,True,5,True,0,False,0,False,True,False,,True,True,True,5,True,True
