event_id,configuration_id,generator,report_text,report_characters,report_words
UNSW-OFFICIAL-442,A0_template,deterministic_template,"Prediction Summary
The detector predicted Shellcode with confidence 0.7559.

Evidence
- ct_dst_src_ltm = 1; SHAP=0.065428; supports predicted class.
- sbytes = 684; SHAP=0.053514; supports predicted class.
- Service = unspecified; SHAP=0.046728; supports predicted class.
- dmean = 45; SHAP=0.032896; supports predicted class.
- Service is not http; SHAP=0.032821; supports predicted class.

Risk and Policy
The predicted operational stage is Advanced Intrusion. The confidence-weighted risk score is 6.4250, corresponding to the Block policy zone.

Recommended Action
Block the suspected source and initiate investigation.

Human Review
No mandatory confidence-based referral.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",819,109
UNSW-OFFICIAL-578,A0_template,deterministic_template,"Prediction Summary
The detector predicted Shellcode with confidence 0.9499.

Evidence
- smean = 161; SHAP=0.106775; supports predicted class.
- Protocol = udp; SHAP=0.106062; supports predicted class.
- sbytes = 322; SHAP=0.095455; supports predicted class.
- ct_dst_src_ltm = 1; SHAP=0.072197; supports predicted class.
- ct_dst_sport_ltm = 1; SHAP=0.046070; supports predicted class.

Risk and Policy
The predicted operational stage is Advanced Intrusion. The confidence-weighted risk score is 8.0744, corresponding to the Isolation policy zone.

Recommended Action
Isolate the affected asset and escalate to incident response.

Human Review
No mandatory confidence-based referral.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",825,110
UNSW-OFFICIAL-822,A0_template,deterministic_template,"Prediction Summary
The detector predicted Exploits with confidence 0.5474.

Evidence
- dinpkt = 17.7852; SHAP=0.039732; supports predicted class.
- dload = 580209; SHAP=0.039629; supports predicted class.
- dloss = 116; SHAP=0.035998; supports predicted class.
- sttl = 254; SHAP=-0.032058; opposes predicted class.
- dmean = 1307; SHAP=0.031393; supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 3.5582, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",800,112
UNSW-OFFICIAL-862,A0_template,deterministic_template,"Prediction Summary
The detector predicted Backdoor with confidence 0.4711.

Evidence
- ct_src_ltm = 11; SHAP=0.070665; supports predicted class.
- Protocol is not udp; SHAP=0.026709; supports predicted class.
- ct_dst_sport_ltm = 2; SHAP=0.025333; supports predicted class.
- sbytes = 200; SHAP=0.024697; supports predicted class.
- ct_dst_src_ltm = 6; SHAP=0.018927; supports predicted class.

Risk and Policy
The predicted operational stage is Command and Control. The confidence-weighted risk score is 3.7692, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",828,115
UNSW-OFFICIAL-957,A0_template,deterministic_template,"Prediction Summary
The detector predicted Exploits with confidence 0.3625.

Evidence
- dload = 11647.9; SHAP=0.028200; supports predicted class.
- sinpkt = 16.7204; SHAP=0.024958; supports predicted class.
- sload = 34267.8; SHAP=0.024759; supports predicted class.
- ct_srv_dst = 1; SHAP=0.023809; supports predicted class.
- rate = 97.4995; SHAP=0.022821; supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 2.3565, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",811,112
UNSW-OFFICIAL-966,A0_template,deterministic_template,"Prediction Summary
The detector predicted Fuzzers with confidence 0.4442.

Evidence
- Protocol = udp; SHAP=0.081984; supports predicted class.
- ct_dst_src_ltm = 2; SHAP=0.062382; supports predicted class.
- ct_srv_src = 3; SHAP=0.042438; supports predicted class.
- ct_srv_dst = 2; SHAP=0.024724; supports predicted class.
- sload = 6.6e+07; SHAP=0.019887; supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 2.8876, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",811,112
UNSW-OFFICIAL-1294,A0_template,deterministic_template,"Prediction Summary
The detector predicted Fuzzers with confidence 0.4301.

Evidence
- smean = 53; SHAP=0.054717; supports predicted class.
- sbytes = 532; SHAP=0.047774; supports predicted class.
- sjit = 16274.1; SHAP=0.020908; supports predicted class.
- ackdat = 0.078321; SHAP=0.019428; supports predicted class.
- dinpkt = 338.222; SHAP=0.019197; supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 2.7958, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",805,112
UNSW-OFFICIAL-1319,A0_template,deterministic_template,"Prediction Summary
The detector predicted Shellcode with confidence 0.2860.

Evidence
- ct_dst_src_ltm = 1; SHAP=0.046651; supports predicted class.
- sbytes = 912; SHAP=0.032124; supports predicted class.
- smean = 91; SHAP=0.025341; supports predicted class.
- Service = unspecified; SHAP=0.020952; supports predicted class.
- sjit = 13291.6; SHAP=-0.018699; opposes predicted class.

Risk and Policy
The predicted operational stage is Advanced Intrusion. The confidence-weighted risk score is 2.4311, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",819,113
UNSW-OFFICIAL-1468,A0_template,deterministic_template,"Prediction Summary
The detector predicted DoS with confidence 0.6832.

Evidence
- sttl = 254; SHAP=0.087562; supports predicted class.
- sloss = 14; SHAP=0.043217; supports predicted class.
- sbytes = 19789; SHAP=0.043141; supports predicted class.
- dbytes = 1844; SHAP=0.038687; supports predicted class.
- spkts = 34; SHAP=0.038458; supports predicted class.

Risk and Policy
The predicted operational stage is Impact / Availability. The confidence-weighted risk score is 4.7824, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",798,114
UNSW-OFFICIAL-1587,A0_template,deterministic_template,"Prediction Summary
The detector predicted Exploits with confidence 0.4899.

Evidence
- dtcpb = 4.19464e+09; SHAP=0.031865; supports predicted class.
- sbytes = 1282; SHAP=0.024898; supports predicted class.
- ct_srv_dst = 1; SHAP=0.022620; supports predicted class.
- An application service is identified; SHAP=0.020238; supports predicted class.
- smean = 128; SHAP=0.020073; supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 3.1846, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",830,114
