event_id,configuration_id,prompt_version,generation_status,generation_error,true_label_evaluation_only,classification_correct_evaluation_only,report_text,input_tokens,output_tokens,generation_seconds,tokens_per_second,reached_token_limit,report_words
UNSW-OFFICIAL-442,A2_constrained_no_shap,2.0,success,,Shellcode,True,"### Evidence-Grounded SOC Report

**Prediction Summary:** The predicted attack class is Shellcode, with a confidence of 75.59%.

**Evidence:** No local feature evidence was supplied in this configuration.

**Risk and Policy:** The risk score is 6.425, indicating a significant risk. The policy zone is set to Block, and the recommended action is to block the suspected source and initiate an investigation.

**Recommended Action:** Block the suspected source and initiate investigation.

**Human Review:** No mandatory confidence-based referral is required.

**Limitations:** The provided evidence does not include any specific details about the attack, such as the type of shellcode, its behavior, or the impact on the system.",343,147,5.991837247000149,24.533376648972983,False,104
UNSW-OFFICIAL-578,A2_constrained_no_shap,2.0,success,,Shellcode,True,"### Evidence-Grounded SOC Report

**Prediction Summary:** The predicted attack class is Shellcode, with a high confidence of 94.99%.

**Evidence:** No local feature evidence was supplied in this configuration.

**Risk and Policy:** The risk score is 8.0744, placing the attack at a high level. The policy zone is Isolation, indicating that the affected asset should be isolated to prevent further damage.

**Recommended Action:** Isolate the affected asset and escalate to incident response.

**Human Review:** No mandatory human review is required.

**Limitations:** The provided evidence does not include any specific details about the attack, such as the shellcode itself, the host it was executed on, or the tools used.",350,152,5.253862674000629,28.931094973644868,False,107
UNSW-OFFICIAL-822,A2_constrained_no_shap,2.0,success,,Worms,False,"### SOC Report

#### Prediction Summary
The predicted label is ""Exploits,"" with a confidence of 0.5474 and an uncertainty score of 0.4526. The predicted stage is ""Exploitation,"" and the risk score is 3.5582. The policy zone is ""Alert,"" and the recommended action is to raise a SOC alert and enrich the event context.

#### Evidence
No local feature evidence was supplied in this configuration.

#### Risk and Policy
The risk score indicates a moderate risk, and the policy zone is set to ""Alert."" The recommended action is to raise a SOC alert and enrich the event context.

#### Recommended Action
Raise a SOC alert and enrich the event context.

#### Human Review
Human review is required due to the detector confidence below the fixed 0.70 threshold.

#### Limitations
The provided evidence does not include local feature data, which is necessary for making accurate predictions.",353,197,7.579116660000182,25.992474959475725,False,144
UNSW-OFFICIAL-862,A2_constrained_no_shap,2.0,success,,DoS,False,"### SOC Report

#### Prediction Summary
The predicted attack class is a Backdoor, with a confidence of 0.4711497010054377.

#### Evidence
No local feature evidence was supplied in this configuration.

#### Risk and Policy
Risk score: 3.7692
Policy zone: Alert
Recommended action: Raise a SOC alert and enrich the event context.

#### Human Review
Human review is required due to the detector confidence below the fixed 0.70 threshold.

#### Limitations
The provided evidence does not include any local feature data, which limits the accuracy of the prediction.",352,135,4.674750500999835,28.87854656010545,False,86
UNSW-OFFICIAL-957,A2_constrained_no_shap,2.0,success,,Shellcode,False,"### SOC Report

#### Prediction Summary
The predicted label is ""Exploits,"" with a confidence of 0.3625. The exploit is in the Exploitation stage, and the risk score is 2.3565. The policy zone is ""Alert,"" and the recommended action is to raise a SOC alert and enrich the event context.

#### Evidence
No local feature evidence was supplied in this configuration.

#### Risk and Policy
The exploit is classified as a high-risk activity, and it falls under the ""Alert"" policy zone. The recommended action is to raise a SOC alert and enrich the event context.

#### Recommended Action
To mitigate the risk, the recommended action is to raise a SOC alert and enrich the event context with additional details such as the exploit details, the system it targets, and any potential impact on the system.

#### Human Review
Human review is required due to the detector confidence below the fixed 0.70 threshold.

#### Limitations
The provided evidence does not include local feature data, which is necessary for making accurate predictions.",351,220,8.362542190999193,26.307789542370422,False,169
UNSW-OFFICIAL-966,A2_constrained_no_shap,2.0,success,,Shellcode,False,"### SOC Report

**Prediction Summary:** The predicted attack class is Fuzzers, with a confidence of 44.42%.

**Evidence:** No local feature evidence was supplied in this configuration.

**Risk and Policy:** The risk score is 2.8876, and the policy zone is Alert. The recommended action is to raise a SOC alert and enrich the event context.

**Recommended Action:** Raise a SOC alert and enrich the event context.

**Human Review:** Human review is required due to the detector confidence below the fixed 0.70 threshold.

**Limitations:** The provided evidence does not include any local feature data, which limits the accuracy of the prediction.",353,141,5.031673158999183,28.02248785730856,False,99
UNSW-OFFICIAL-1294,A2_constrained_no_shap,2.0,success,,Shellcode,False,"### SOC Report

**Prediction Summary:** The predicted attack class is Fuzzers, with a confidence of 43.01%.

**Evidence:** No local feature evidence was supplied in this configuration.

**Risk and Policy:** The risk score is 2.7958, and the policy zone is Alert. The recommended action is to raise a SOC alert and enrich the event context.

**Recommended Action:** Raise a SOC alert and enrich the event context.

**Human Review:** Human review is required due to the detector confidence below the fixed 0.70 threshold.

**Limitations:** The provided evidence does not include any local feature data, which limits the accuracy of the prediction.",352,141,4.854999410999881,29.04222803416597,False,99
UNSW-OFFICIAL-1319,A2_constrained_no_shap,2.0,success,,Shellcode,True,"### SOC Report

**Prediction Summary:** The predicted attack class is Shellcode, with a confidence of 28.6%.

**Evidence:** No local feature evidence was supplied in this configuration.

**Risk and Policy:** The risk score is 2.4311, and the policy zone is Alert. The recommended action is to raise a SOC alert and enrich the event context.

**Recommended Action:** Raise a SOC alert and enrich the event context.

**Human Review:** Human review is required due to the detector confidence below the fixed 0.70 threshold.

**Limitations:** The provided evidence does not include any local feature data, which limits the accuracy of the prediction.",352,139,5.727053597000122,24.27076988991501,False,99
UNSW-OFFICIAL-1468,A2_constrained_no_shap,2.0,success,,DoS,True,"### Evidence-Grounded SOC Report

#### Prediction Summary
The predicted attack class is a Denial of Service (DoS) attack.

#### Evidence
No local feature evidence was supplied in this configuration.

#### Risk and Policy
**Risk Score:** 4.7824
**Policy Zone:** Alert
**Recommended Action:** Raise a SOC alert and enrich the event context.

#### Recommended Action
**Human Review:** Required
**Confidence Threshold:** 0.70
**Reason:** Detector confidence below the fixed 0.70 threshold.

#### Limitations
The recommended action is based on a high confidence threshold of 0.70, which may not be sufficient for all organizations. Further investigation and validation of the attack's impact and severity would be necessary to determine the appropriate response.",350,164,5.663051092999922,28.959653958043898,False,107
UNSW-OFFICIAL-1587,A2_constrained_no_shap,2.0,success,,Worms,False,"### SOC Report

#### Prediction Summary
The predicted label is ""Exploits,"" with a confidence of 0.4899. The exploit is in the Exploitation stage, and the risk score is 3.1846. The policy zone is ""Alert,"" and the recommended action is to raise a SOC alert and enrich the event context.

#### Evidence
No local feature evidence was supplied in this configuration.

#### Risk and Policy
The exploit is in the Exploitation stage, indicating a high risk. The policy zone is set to ""Alert,"" which aligns with the recommended action to raise a SOC alert and enrich the event context.

#### Recommended Action
Raise a SOC alert and enrich the event context.

#### Human Review
Human review is required due to the detector confidence below the fixed 0.70 threshold.

#### Limitations
The provided evidence does not include local feature data, which is necessary for making accurate predictions.",353,195,7.573867410000275,25.746423781135736,False,145
UNSW-OFFICIAL-1645,A2_constrained_no_shap,2.0,success,,Exploits,False,"### SOC Report

#### Prediction Summary
The predicted attack class is a Denial of Service (DoS) attack.

#### Evidence
No local feature evidence was supplied in this configuration.

#### Risk and Policy
Risk Score: 2.0282
Policy Zone: Alert
Recommended Action: Raise a SOC alert and enrich the event context.

#### Recommended Action
Human Review: Required
Human Review Confidence Threshold: 0.7
Reason: Detector confidence below the fixed 0.70 threshold.

#### Limitations
The recommended action is based on the provided evidence, which does not include any local feature data. This limits the accuracy of the risk assessment and the effectiveness of the recommended action.",352,144,4.929944371999227,29.20925453396223,False,102
UNSW-OFFICIAL-1779,A2_constrained_no_shap,2.0,success,,Fuzzers,True,"### Evidence-Grounded SOC Report

**Prediction Summary:** The predicted attack class is Fuzzers, with a high confidence of 0.9094.

**Evidence:** No local feature evidence was supplied in this configuration.

**Risk and Policy:** The risk score is 5.9111, placing the attack at a high level. The policy zone is set to Block, indicating a mandatory response.

**Recommended Action:** The recommended action is to Block the suspected source and initiate an investigation.

**Human Review:** Human review is not required as the confidence threshold is below 0.7.

**Limitations:** The report does not include any specific limitations or constraints.",346,138,4.96879530500064,27.773331668767995,False,94
UNSW-OFFICIAL-1860,A2_constrained_no_shap,2.0,success,,Backdoor,True,"### SOC Report

#### Prediction Summary
The predicted attack class is a Backdoor, with a confidence of 26.84%.

#### Evidence
No local feature evidence was supplied in this configuration.

#### Risk and Policy
Risk Score: 2.1474
Policy Zone: Alert
Recommended Action: Raise a SOC alert and enrich the event context.

#### Recommended Action
Human Review: Required, with a confidence threshold of 0.7.

#### Limitations
The detector confidence is below the fixed 0.70 threshold, necessitating human review.",352,118,4.695872334999876,25.128451453100055,False,76
UNSW-OFFICIAL-2180,A2_constrained_no_shap,2.0,success,,Shellcode,False,"### SOC Report

**Prediction Summary:** The predicted attack class is Fuzzers, with a confidence of 0.5810446020890646.

**Evidence:** No local feature evidence was supplied in this configuration.

**Risk and Policy:** The risk score is 3.7768, indicating a moderate risk. The attack is classified as Exploitation, and it falls under the policy zone of Alert.

**Recommended Action:** A SOC alert should be raised, and the event context should be enriched. The recommended action is to raise a SOC alert and enrich the event context.

**Human Review:** Human review is required due to the detector confidence below the fixed 0.70 threshold.

**Limitations:** The provided evidence does not include any local feature data, which limits the accuracy of the prediction.",353,176,6.0631476449998445,29.027826849168623,False,116
UNSW-OFFICIAL-2362,A2_constrained_no_shap,2.0,success,,Exploits,False,"### SOC Report

#### Prediction Summary
The predicted attack class is a Backdoor, with a confidence of 0.2941869174079897.

#### Evidence
No local feature evidence was supplied in this configuration.

#### Risk and Policy
Risk score: 2.3535
Policy zone: Alert
Recommended action: Raise a SOC alert and enrich the event context.

#### Recommended Action
Human Review: Required, with a confidence threshold of 0.7.

#### Limitations
The detector confidence is below the fixed 0.70 threshold, necessitating human review.",352,131,5.40293222299988,24.246093527204128,False,76
UNSW-OFFICIAL-2491,A2_constrained_no_shap,2.0,success,,Exploits,False,"### SOC Report

#### Prediction Summary
The predicted attack class is a Backdoor, with a confidence of 34.73%.

#### Evidence
No local feature evidence was supplied in this configuration.

#### Risk and Policy
Risk Score: 2.7781
Policy Zone: Alert
Recommended Action: Raise a SOC alert and enrich the event context.

#### Recommended Action
Human Review: Required
Human Review Confidence Threshold: 0.7
Reason: Detector confidence below the fixed 0.70 threshold.

#### Limitations
The recommended action is based on a low confidence score (34.73%) and a risk score of 2.7781, which indicates a moderate risk. The lack of local feature evidence makes it challenging to provide more specific details or recommendations.",352,166,5.6635375850000855,29.31030252887383,False,109
UNSW-OFFICIAL-2673,A2_constrained_no_shap,2.0,success,,Fuzzers,False,"### Evidence-Grounded SOC Report

**Prediction Summary:** The system predicted the event as **Normal** with a confidence of 82.49%.

**Evidence:** No local feature evidence was supplied in this configuration.

**Risk and Policy:** The risk score is 0.0, indicating no significant risk. The event is classified under the **Monitor** policy zone.

**Recommended Action:** Log the event and continue monitoring.

**Human Review:** No mandatory human review is required.

**Limitations:** The system did not provide any specific features or attack behavior to support the prediction.",338,118,4.040609110999867,29.203517776259325,False,81
UNSW-OFFICIAL-2751,A2_constrained_no_shap,2.0,success,,DoS,False,"### SOC Report

#### Prediction Summary
The predicted attack class is **Reconnaissance** with a confidence of **0.365**.

#### Evidence
No local feature evidence was supplied in this configuration.

#### Risk and Policy
**Risk Score:** 1.0957
**Policy Zone:** Monitor
**Recommended Action:** Log the event and continue monitoring.

#### Recommended Action
Log the event and continue monitoring.

#### Human Review
**Required:** Yes
**Confidence Threshold:** 0.70
**Reason:** Detector confidence below the fixed 0.70 threshold.

#### Limitations
The confidence threshold for human review was set at 0.70, which is below the default threshold of 0.70. This means that the system will not automatically trigger a human review but will require a manual assessment to determine if the event warrants further action.",350,183,7.190058220999163,25.451810593902188,False,117
